Season,Date,Team,Competition,Stage,Opposition,Home/Away,Venue,Result,F,A,Position,Time,Start,MOTM,YC,Try,Notes,Opposition_club
2016/2017,2017-02-18,2nd,MMT 2,NA,HAC 3rd,A,Away,L,22,54,Lock,80,TRUE,FALSE,FALSE,1,NA,HAC
2016/2017,2017-03-04,2nd,MMT 2,NA,Kilburn Cosmos 2nd,H,Ealing,L,8,27,Lock,80,TRUE,FALSE,FALSE,0,NA,Kilburn Cosmos
2016/2017,2017-03-11,2nd,MMT 2,NA,Millfield Old Boys Badgers (2nd),A,Away,L,7,34,Lock,5,FALSE,FALSE,FALSE,0,NA,Millfield Old Boys Badgers
2016/2017,2017-04-13,1st,NW Middx Cup,Semi Final,Wasps,A,Away,W,29,8,Lock,30,FALSE,FALSE,FALSE,0,NA,Wasps
2016/2017,2017-04-15,Exiles,Friendly,NA,Hanwell/Wageningen,A,Away,W,30,0,Lock,60,TRUE,FALSE,FALSE,0,NA,Hanwell/Wageningen
2016/2017,2017-05-19,Exiles,Memorial Match,NA,Evergreens,H,Ealing,L,10,42,Lock,80,TRUE,FALSE,FALSE,1,NA,Evergreens
2017/2018,2017-08-19,1st,Friendly,NA,London Scottish 3rd,A,Away,L,7,32,Lock,50,TRUE,FALSE,FALSE,0,NA,London Scottish
2017/2018,2017-08-24,2nd,Friendly,NA,Staines,H,Ealing,D,12,12,Lock,40,TRUE,FALSE,FALSE,0,NA,Staines
2017/2018,2017-09-09,2nd,Friendly,NA,High Wycombe 2nd,A,Away,W,31,14,Lock,80,TRUE,FALSE,FALSE,0,NA,High Wycombe
2017/2018,2017-09-16,1st,Zoo Sports Shield 2,NA,Shelford,A,Away,L,0,24,Lock,80,TRUE,FALSE,FALSE,0,NA,Shelford
2017/2018,2017-09-30,2nd,MMT 2,NA,Kilburn Cosmos 2nd,H,Ealing,L,15,26,Lock,80,TRUE,FALSE,FALSE,0,NA,Kilburn Cosmos
2017/2018,2017-10-14,2nd,MMT Cup,NA,Hampstead,H,Ealing,L,17,48,Lock,40,FALSE,FALSE,FALSE,0,NA,Hampstead
2017/2018,2017-10-21,2nd,MMT 2,NA,Grasshoppers 2nd,H,Ealing,W,40,17,Lock,15,FALSE,FALSE,FALSE,0,NA,Grasshoppers
2017/2018,2017-10-28,2nd,MMT 2,NA,Rosslyn Park IVs,H,Ealing,L,33,47,Lock,75,FALSE,FALSE,FALSE,0,NA,Rosslyn Park IVs
2017/2018,2017-11-11,2nd,MMT 2,NA,Belsize Park 3rd,H,Ealing,W,30,22,Lock,30,FALSE,FALSE,FALSE,0,NA,Belsize Park
2017/2018,2017-11-17,Evergreens,Friendly,NA,Uxbridge Vandals,H,Ealing,W,29,21,Lock/Flanker,50,TRUE,FALSE,FALSE,0,NA,Uxbridge Vandals
2017/2018,2017-11-25,2nd,MMT 2,NA,HAC 3rd,A,Away,L,33,46,Lock,80,TRUE,FALSE,FALSE,0,NA,HAC
2017/2018,2017-12-02,1st,Zoo Sports Shield 2,NA,Colchester 2nd,A,Away,L,12,52,Lock,1,FALSE,FALSE,FALSE,0,NA,Colchester
2017/2018,2017-12-09,2nd,MMT 2,NA,Old Priorians,H,Ealing,W,25,0,Lock,80,TRUE,FALSE,FALSE,1,w/o,Old Priorians
2017/2018,2017-12-16,2nd,MMT 2,NA,Kilburn Cosmos 2nd,A,Away,W,43,3,Lock,55,TRUE,FALSE,FALSE,0,NA,Kilburn Cosmos
2017/2018,2018-01-06,2nd,MMT 2,NA,Hammersmith & Fulham 4th,H,Ealing,D,24,24,Lock,40,TRUE,FALSE,FALSE,0,NA,Hammersmith & Fulham
2017/2018,2018-01-13,2nd,MMT 2,NA,Grasshoppers 2nd,A,Away,L,20,36,Lock,80,TRUE,FALSE,FALSE,0,NA,Grasshoppers
2017/2018,2018-01-20,Exiles,Memorial Match,NA,Old Actonians,H,Ealing,L,12,54,Lock,80,TRUE,FALSE,FALSE,0,NA,Old Actonians
2017/2018,2018-01-27,2nd,MMT 2,NA,Rosslyn Park IVs,A,Away,L,7,56,Lock,80,TRUE,FALSE,FALSE,0,NA,Rosslyn Park IVs
2017/2018,2018-02-17,2nd,MMT 2,NA,Belsize Park 3rd,A,Away,L,35,62,Lock,80,TRUE,TRUE,FALSE,2,NA,Belsize Park
2017/2018,2018-03-10,Exiles,MMT 5,NA,Northolt 2nd,A,Away,D,5,5,Lock,80,TRUE,FALSE,FALSE,0,NA,Northolt
2017/2018,2018-03-17,2nd,MMT 2,NA,HAC 3rd,H,Ealing,W,12,10,Lock,80,TRUE,FALSE,FALSE,0,NA,HAC
2017/2018,2018-03-24,Exiles,Friendly,NA,Wasps 2nd,A,Away,W,43,41,Lock,80,TRUE,FALSE,FALSE,0,NA,Wasps
2017/2018,2018-04-07,Exiles,Friendly,NA,Feltham,H,Ealing,L,12,29,Lock,70,TRUE,FALSE,FALSE,0,NA,Feltham
2017/2018,2018-04-14,Exiles,MMT 5,Final,Hayes,A,Away,L,14,22,Lock,80,TRUE,FALSE,FALSE,0,NA,Hayes
2017/2018,2018-04-27,Evergreens,Middlesex Vets,Final,UCS Old Boys,H,Ealing,W,8,6,Lock,40,FALSE,FALSE,FALSE,0,NA,UCS Old Boys
2017/2018,2018-05-05,2nd,Friendly,NA,UCFB,H,Ealing,W,39,17,Lock,80,TRUE,FALSE,FALSE,0,NA,UCFB
2017/2018,2018-05-18,Exiles,Memorial Match,NA,Evergreens,H,Ealing,L,46,49,Lock,65,TRUE,FALSE,FALSE,0,NA,Evergreens
2018/2019,2018-09-29,2nd,MMT 1,NA,London Welsh 2nd,A,Away,L,12,36,Lock,65,TRUE,FALSE,FALSE,1,NA,London Welsh
2018/2019,2018-10-06,Exiles,MMT 4,NA,Wasps 2nd,H,Ealing,W,43,31,Lock,80,TRUE,TRUE,FALSE,1,NA,Wasps
2018/2019,2018-10-13,2nd,MMT Cup,NA,Old Haberdashers' 2nd,H,Ealing,L,20,27,Lock,75,TRUE,FALSE,FALSE,0,NA,Old Haberdashers'
2018/2019,2018-10-20,2nd,MMT 1,NA,London Cornish 3rd,A,Away,L,18,45,Lock,80,TRUE,FALSE,FALSE,0,NA,London Cornish
2018/2019,2018-11-09,Evergreens,MMT Vets Cup,NA,Chiswick,A,Away,L,17,40,Flanker/No. 8,70,TRUE,FALSE,FALSE,0,Abandoned after 70',Chiswick
2018/2019,2018-11-10,Exiles,Friendly,NA,Surrey Chargers,H,Ealing,D,35,35,Flanker,80,TRUE,FALSE,FALSE,0,Mixed ability,Surrey Chargers
2018/2019,2018-11-17,2nd,MMT 1,NA,HAC 3rd,A,Away,L,17,44,Lock,80,TRUE,FALSE,FALSE,0,NA,HAC
2018/2019,2018-11-17,Exiles,MMT 4,NA,Bank of England 2nd,H,Ealing,W,41,31,Lock/No. 8,70,TRUE,FALSE,FALSE,0,Abandoned after 70',Bank of England
2018/2019,2018-11-23,Evergreens,MMT Vets A,NA,Wasps,H,Ealing,L,25,32,Lock/Flanker,80,TRUE,FALSE,FALSE,0,NA,Wasps
2018/2019,2018-12-01,2nd,MMT 1,NA,Chiswick 2nd,H,Ealing,L,18,42,Lock,45,TRUE,FALSE,FALSE,0,NA,Chiswick
2018/2019,2018-12-01,2nd,MMT 1,,Chiswick 2nd,H,Ealing,L,18,42,Lock,45,TRUE,FALSE,FALSE,0,,Chiswick
